VIN,Stock,Year,Make,Model,Body,Trim,Mileage,Price,Exterior Color,Interior Color
KMHCT41B3HU129071,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B3HU130009,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B3HU183552,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B4HU106351,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B4HU106723,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B4HU107208,,2017,Hyundai,Accent,,GL,,,Beige,
KMHCT41B4HU185570,,2017,Hyundai,Accent,,GL,,,Coffee Bean,
KMHCT41B5HU107718,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B5HU127533,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B5HU127919,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B5HU128455,,2017,Hyundai,Accent,,GL,,,Misty Beige,
KMHCT41B5HU130058,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B5HU163657,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B5HU185366,,0,Hyundai,Accent,,GL,,,Su 2 Ice,
KMHCT41B5HU197260,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B6HU107727,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B6HU127900,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B6HU127976,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B6HU128741,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B7HU127548,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B7HU128523,,2017,Hyundai,Accent,,GL,,,Misty Beige,
KMHCT41B7HU129297,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B7HU130286,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B8HU127879,,2017,Hyundai,Accent,,GL,,,Sleek Silver,
KMHCT41B9HU128846,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41B9HU185399,,2017,Hyundai,Accent,,GL,,,Coffee Bean,
KMHCT41BXHU129973,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41BXHU130203,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41D6HU101900,,2017,Hyundai,Accent,,GL,,,Crystal White,
KMHCT41D7HU199559,,2017,Hyundai,Accent,,GL,,,Sonic Silver,
MALC281C3HM115448,,2017,Hyundai,Creta,,GL,,,Red Passion,
MALC381C5HM132488,,2017,Hyundai,Creta,,GLS,,,Polar White,
KMHD741C0HU156682,,2017,Hyundai,Elantra,,GL,,,Moonlight Blue,
KMHD741C0HU229694,,2017,Hyundai,Elantra,,GL,,,Platinum Silver,
KMHD741C1HU276314,,2017,Hyundai,Elantra,,GL,,,Platinum Silver,
KMHD741C3HU181799,,2017,Hyundai,Elantra,,GL,,,Platinum Silver,
KMHD741C3HU253892,,2017,Hyundai,Elantra,,GL,,,Ice Wine,
KMHD741C4HU261886,,2017,Hyundai,Elantra,,GL,,,Sparkling Metal,
KMHD741C5HU204838,,2017,Hyundai,Elantra,Sedan,GL,,,Marina Blue,White
KMHD741C5HU262142,,2017,Hyundai,Elantra,,GL,,,Iron Gray,
KMHD741C6HU262103,,2017,Hyundai,Elantra,,GL,,,Iron Gray,
KMHD741C7HU181739,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F0HU245422,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F0HU264164,,2017,Hyundai,Elantra,,GL,,,Ice Wine,
KMHD741F1HU245588,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F1HU254873,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F4HU259825,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F7HU245479,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F7HU245496,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F7HU246728,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F7HU247331,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F7HU247359,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD741F8HU259827,,2017,Hyundai,Elantra,,GL,,,Polar White,
KMHD841F0HU106100,,2017,Hyundai,Elantra,,GLS,,,Marina Blue,
KMHD841F1HU106915,,2017,Hyundai,Elantra,,GLS,,,Phantom Black,
KMHD841F3HU149362,,2017,Hyundai,Elantra,,GLS,,,Moonlight Blue,Red
KMHD841F6HU238116,,2017,Hyundai,Elantra,,GLS,,,Platinum Silver,
KMHD841F7HU106899,,2017,Hyundai,Elantra,,GLS,,,Phantom Black,
KMHD841F8HU106992,,2017,Hyundai,Elantra,,GLS,,,Marina Blue,
KMHDG41C3FU143275,,2015,Hyundai,Elantra,,STD,,,Brown,
KMHSM81E8GU150278,,2016,Hyundai,Santa Fe,,GL,,,Beige,
KMHSN81E5GU147724,,2016,Hyundai,Santa Fe,,GLS,,,Beige,
KMHSN81E5GU150705,,2016,Hyundai,Santa Fe,,GLS,,,Tan Brown,
KMHST81C7GU490667,,2016,Hyundai,Santa Fe,,GL,,,Crystal White,
KMHSU81C0GU477983,,2016,Hyundai,Santa Fe,,GLS,,,Titanium Silver,
KMHSU81E2GU491918,,2016,Hyundai,Santa Fe,,GLS,,,Tan Brown,
KMHSU81E4GU505799,,2017,Hyundai,Santa Fe,,GLS,,,Crystal White,
KMHSU81E5GU592046,,2017,Hyundai,Sonata,,GLS,,,Misty Beige,
KMHSU81E8GU468434,,2017,Hyundai,Santa Fe,,GLS,,,Misty Beige,
KMHSU81E9HU658938,,2017,Hyundai,Santa Fe,,GLS,,,Creamy White,
KMHE241G1HA291354,,2017,Hyundai,Sonata,,GL,,,Dark Horse,
KMHE241G5HA291308,,2017,Hyundai,Sonata,,GL,,,Platinum Silver,
KMHE241G6HA276493,,2017,Hyundai,Tucson,,GL,,,Ice White,
KMHE341G0HA259170,,2017,Hyundai,Sonata,,GLS,,,Dark Horse,
KMHE341G0HA269889,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G0HA297661,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G1HA268587,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G2HA270672,,2017,Hyundai,Sonata,,GL,,,Dark Horse,
KMHE341G4HA281477,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G4HA302635,,2017,Hyundai,Sonata,,GLS,,,Polished Metal,
KMHE341G6HA297132,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G6HA297664,,2017,Hyundai,Sonata,,GLS,,,Ice White,
KMHE341G6HA303267,,2017,Hyundai,Sonata,,GLS,,,Ice Wine,
KMHE341G8HA259367,,2017,Hyundai,Sonata,,GLS,,,Coast Blue,
TMAJ28132GJ135074,,2016,Hyundai,Tucson,,GL,,,White Sand,
TMAJ28135GJ044526,,2016,Hyundai,Tucson,,GL,,,Beige,
TMAJ28138GJ019460,,2016,Hyundai,Tucson,,GL,,,Beige,
TMAJ381B1GJ115113,,2017,Hyundai,Tucson,Sedan,GL,,,Red Wine,33
6T1BF9FK1FX547752,,2015,Toyota,Camry,,GL,,,Grey,
KMHSM81E7GU150529,,2016,Hyundai,Santa Fe,,GL,,,Misty Beige,
MHFBW6F32F5012677,,2015,Toyota,Yaris,,STD,,,White,
MHFBW6F36F5010429,,2015,Toyota,Yaris,,STD,,,White,
MHFBW6F39F5006665,,2015,Toyota,Yaris,,STD,,,White,
MHFBW6F31F5015229,,2015,Toyota,Yaris,Sedan,STD,,,White,33
